epoch,acc,loss,val_acc,val_loss
0,0.20164,5.45538174851709,0.51267993,2.425835967063904
1,0.6496075,1.7637315576696146,0.7160155,1.2547009852197435
2,0.79365104,0.9562478563137671,0.7946082,0.9407145066393746
3,0.8554975,0.6314708008407892,0.8510395,0.6660918833480941
4,0.88879675,0.4604891110474937,0.8878227,0.5137143917381763
5,0.91052216,0.35265886571351973,0.88965046,0.4797488326827685
6,0.9242545,0.2860364314216292,0.8974183,0.45992405257291263
7,0.9360795,0.23526007686843453,0.90404385,0.45397888993223506
8,0.9442934,0.20076740923474468,0.91089785,0.4254526353130738
9,0.950089,0.1758884756057836,0.9104409,0.4123807027935982
10,0.9554126,0.1551050400463902,0.9179804,0.37779228761792183
11,0.95935935,0.1398822751235063,0.9294037,0.3883485736118423
12,0.9628514,0.1256733276579195,0.9195796,0.3871208688037263
13,0.9660556,0.11420078813541529,0.9234636,0.43778626724249786
14,0.96854746,0.10503144861827754,0.9300891,0.3729432142443127
15,0.97091377,0.09750081715818926,0.92437744,0.37367087519831127
16,0.97239023,0.09169305445749557,0.917295,0.42107968404889107
17,0.9744556,0.08409117473992511,0.9389993,0.31880778777930474
18,0.9754948,0.08149658691388095,0.93991315,0.3621084661119514
19,0.97688687,0.07575827636054601,0.94151247,0.33600482603328097
20,0.97786325,0.07227747157090192,0.937857,0.3747176763912042
21,0.9794415,0.06676190571486298,0.93671465,0.38484525142444503
22,0.9802577,0.0646813532948551,0.93534386,0.3442595609360271
23,0.9809743,0.06214250468103837,0.9266621,0.392613905792435
24,0.9819464,0.05847606442996106,0.9296322,0.40130312738215757
25,0.98268247,0.05588863389438023,0.9394562,0.36133190037475693
26,0.98289466,0.05514578922610249,0.9467672,0.3187476312741637
27,0.98374116,0.052239765687678116,0.9437971,0.34619657902254
28,0.9846093,0.04978287072966206,0.9431117,0.3543348166470726
29,0.98496217,0.048461635281611654,0.9358008,0.4036352675822046
30,0.9852826,0.04704457966360053,0.9437971,0.32733983649975723
31,0.98586494,0.04462194657450309,0.94037014,0.32429175244437325
32,0.9862893,0.04345984141751287,0.94585335,0.30626957553128403
33,0.9866292,0.04221172163512183,0.9538497,0.2782850017150243
34,0.987086,0.04113704314537356,0.9355723,0.39584532173143494
35,0.9870752,0.04027371206919838,0.94471097,0.3488630967007743
36,0.9878264,0.03860203412930223,0.9437971,0.33733431725866264
37,0.9881641,0.03782493478232659,0.9522504,0.31292491985691917
38,0.9886404,0.03533148794969355,0.94174093,0.337155618911816
39,0.9888375,0.03598286923968067,0.9355723,0.3838389358586735
40,0.9888505,0.03478735982736526,0.9431117,0.35354706313874984
41,0.9889327,0.034519225687648494,0.9467672,0.32402968323893017
42,0.9894177,0.03297726483154432,0.94585335,0.31714813266363406
43,0.9896125,0.03256597014512969,0.948138,0.3367782545586427
44,0.9896775,0.032178386862487925,0.9419694,0.3138175388901598
45,0.9899762,0.03141621980076894,0.94790953,0.32017616896579665
46,0.9902382,0.030003597904194542,0.9561343,0.28316180283824605
47,0.99061704,0.029101749131119323,0.9524789,0.3022228290533854
48,0.9904352,0.029401695701669398,0.9501942,0.32980937138199806
49,0.9905781,0.029109356002186466,0.951565,0.3261020587136348
50,0.99108034,0.027928247339788662,0.9538497,0.3050423072030147
51,0.9911302,0.027641316365175996,0.9561343,0.31481897567088407
52,0.99117345,0.027568449734632114,0.95750517,0.24516071524057123
53,0.991351,0.02696002847249039,0.9554489,0.279863858078089
